datelastmodified	basisofrecord	country	stateprovince	institutioncode	collectioncode	catalognumber	kingdom	phylum	taxonclass	ordem	family	genus	species	subspecies	scientificname	scientificnameauthor	typestatus	yearcollected	monthcollected	daycollected	collector	collectornumber	fieldnumber	julianday	timeofday	identifiedby	yearidentified	monthidentified	dayidentified	continentocean	county	locality	longitude	latitude	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes	barcode	historyofdeposit	depositor	yeardeposited	monthdeposited	daydeposited	isolatedfrom	isolator	isolationmethod	conditionsforgrowth	geneticallymodified	genotype	mutant	race	alternatestate	strainproperties	strainapplications	formofsupply	restrictions	biologicalrisks	pathogenicity
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	501765	Plantae	Magnoliophyta			Rubiaceae	Psychotria	deflexa		Psychotria deflexa	DC.		1994	04	06	A. M. V. de Carvalho	4460				C. M. Taylor	1998			South America	Porto Seguro Mun.	Reserva da Brasil Holanda de Ind. S/A. Entrada no km 22 da Rod. Eunápolis/P. Seguro. Ca. 9,5 km na entrada	-39.6586	-16.4625								sheet					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=663229' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY00501765																				
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	00750084	Plantae	Magnoliophyta			Rutaceae	Galipea	simplicifolia		Galipea simplicifolia	Schult.					J. G. Jardim	415				J. R. Pirani				South America	Porto Seguro Mun.	Reserva Brasil Holanda de Industrias S/A. Entrada no km 22 da Rodovia Eunápolis-Porto Seguro. Ca. 9.5 km da entrada	-39.5219	-16.4625								fluid-preserved					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=560872' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY00750084																				
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	595097	Plantae	Magnoliophyta			Fabaceae	Bauhinia	outimouta		Bauhinia outimouta	Aubl.		1994	04	07	J. G. Jardim	400				R. C. Barneby	1994			South America	Porto Seguro Mun.	Reserva da Brasil Holanda de Industrias S/A. Entrada no km 22 da Rod. Eunapolis/P. Seguro. Ca. 9.5 km a entrada	-39.5219	-16.4625								sheet					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=357974' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY00595097																				
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	476424	Plantae	Magnoliophyta			Malpighiaceae	Stigmaphyllon	paralias		Stigmaphyllon paralias	A.Juss.		1994	04	07	J. G. Jardim	396				W. R. Anderson				South America	Porto Seguro Mun.	Reserva da Brasil Holanda de Industrias S/A. Entrada no km 22 da Rod. Eunápolis/P. Seguro. Ca. 9.5 km na entrada	-39.52	-16.4625								sheet					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365285' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY00476424																				
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	01873654	Plantae	Magnoliophyta			Commelinaceae	Dichorisandra	leucophthalmos		Dichorisandra leucophthalmos	Hook.		1994	04	06	A. M. V. de Carvalho	4505				L. Y. S. Aona-Pinheiro	2007	07		South America	Porto Seguro Mun.	Reserva da Brasil Holanda de Ind. S/A.Entrada no Km 22 da Rod. Eunapólis/ P.Seguro.Ca. 9.5 Km na entrada.	-39.52	-16.4625								sheet					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238007' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY01873654																				
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	01873655	Plantae	Magnoliophyta			Commelinaceae	Dichorisandra	penduliflora		Dichorisandra penduliflora	Kunth		1994	04	06	A. M. V. de Carvalho	4506				L. Y. S. Aona-Pinheiro	2007	07		South America	Porto Seguro Mun.	Reserva da Brasil Holanda de Ind. S/A.Entrada no Km 22 da Rod. Eunapólis/ P.Seguro.Ca. 9.5 Km na entrada.	-39.52	-16.4625								sheet					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=238010' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY01873655																				
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	00829356	Plantae	Magnoliophyta			Solanaceae	Solanum			Solanum	L.		1993	10	22	W. W. Thomas	10112				W. W. Thomas				South America	Prado Mun.	Reserva Florestal da Brasil de Holanda Industrias S.A.; the entrance at Km 18 east of Itamaraju on road to Prado, 8 km from entrance	-39.33	-17.18								sheet					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=119319' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY00829356																				
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	00750184	Plantae	Magnoliophyta			Passifloraceae	Passiflora	mansoi		Passiflora mansoi	(Mart.) Mast.		1994	04	07	J. G. Jardim	393				A. C. Cervi	2004			South America	Porto Seguro Mun.	Reserva Brasil Holanda de Industrias S/A. Entrada no km 22 da Rodovia Eunápolis-Porto Seguro. Ca. 9.5 km da entrada	-39.5219	-16.4625								fluid-preserved					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=914708' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY00750184																				
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	00750178	Plantae	Magnoliophyta			Passifloraceae	Passiflora	rhamnifolia		Passiflora rhamnifolia	Mast.		1994	04	07	J. G. Jardim	393				A. C. Mezzonato-Pires	2015			South America	Porto Seguro Mun.	Reserva Brasil Holanda de Industrias S/A. Entrada no km 22 da Rodovia Eunápolis-Porto Seguro. Ca. 9.5 km da entrada	-39.5219	-16.4625								sheet					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=655671' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY00750178																				
2025-01-25T00:18:00	PreservedSpecimen	Brasil	Bahia	NY	NY	00749724	Plantae	Magnoliophyta			Passifloraceae	Passiflora	alata		Passiflora alata	Curtis		1994	04	07	J. G. Jardim	411				A. C. Cervi	2004			South America	Porto Seguro Mun.	Reserva Brasil Holanda de Industrias S/A. Entrada no km 22 da Rodovia Eunápolis-Porto Seguro. Ca. 9.5 km da entrada	-39.5219	-16.4625								sheet					<nO><a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=655672' target='other'> <mi>dwc_moreinfo</mi></a></nO>	NY00749724																				
